drink_menu_id,name,description,ingredients,instructions,video_url,prep_time,difficulty,serves,created_at,updated_at
"d9bd842a-3415-4aa9-94e6-34869544264c","Aperol Spritz","Klasični italijanski aperitiv s svežim okusom pomaranče in penečega vina. Popoln za poletne večere.","[""90 ml Prosecca (ali drugega penečega vina)"",""60 ml Aperola"",""30 ml gazirane vode (Schweppes Soda ali San Pellegrino)"",""Led"",""Rezina pomaranče za okras""]","[""V visok kozarec dodaj led"",""Nalij Aperol"",""Dodaj Prosecco"",""Dolij gazirana voda"",""Nežno premešaj"",""Okrasi z rezino pomaranče""]",,"5 min","Easy",1,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
"c1b1c1ba-ec05-41ce-804a-e61294fb052e","Black Devil's Ice Tea","Močan koktajl z mešanico štirih žganih pijač in svežim blackberry okusom. Popoln za zabave.","[""15 ml Absolut vodke"",""15 ml Bombay Sapphire gina"",""15 ml Havana Club belega ruma"",""15 ml Camino Real Blanco tekile"",""15 ml Triple SEC"",""10 ml Blackberry likerja"",""20 ml svežega limoninega soka"",""Sprite za dolivanje"",""Led"",""Rezina limone, črne jagode ali meta za okras""]","[""V shaker z ledom dodaj vse sestavine razen Sprita"",""Dobro pretreseš, da se vse premeša in ohladi"",""Precedi v visok kozarec z ledom"",""Doli Sprite po okusu (80-100 ml)"",""Okrasi z limono in črnimi jagodami""]",,"8 min","Hard",1,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
"45561068-2dc2-4522-9650-63ecc56122a3","Cherry Bitherinho","Unikaten koktajl z Jägermeisterjem in višnjami. Popolna kombinacija grenkega in sladkega okusa.","[""40 ml Jägermeister"",""20 ml likerja iz višnje (ali Maraschino)"",""2 žlički rumenega sladkorja"",""4-5 kosov limete (narezane na kocke)"",""60 ml motnega jabolčnega soka"",""Zdrobljen led"",""Rezina limete, višnja ali list mete za okras""]","[""V whiskey kozarec dodaj limetine koščke in sladkor"",""Z mudlerjem dobro potlačiš, da limeta spusti sok"",""Dodaj Jägermeister, višnjev liker in jabolčni sok"",""Napolni z zdrobljenim ledom"",""Nežno premešaj z žlico"",""Okrasi z limeto in višnjo""]",,"10 min","Medium",1,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
"276c21d8-477b-4ffd-abab-6fc7e733f4e4","Red Bull Vodka","Energijska kombinacija vodke in Red Bulla. Popolna za dolge noči in zabave.","[""40 ml Absolut vodke"",""120 ml Red Bulla"",""Led (opcijsko)""]","[""V visok kozarec dodaj nekaj kock ledu"",""Nalij vodko"",""Po vrhu dolij Red Bull"",""Ne premešaj preveč"",""Postreži s slamico""]",,"3 min","Easy",1,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
"ac7de659-fd29-45de-b02d-c04f90b4bfd3","Klasični Gin Tonik","Eleganten in osvežujoč koktajl z botaničnim okusom gina in grenkim tonikom.","[""40-50 ml Bombay Sapphire gina"",""100-150 ml tonika (Fever-Tree, Schweppes Premium ali Thomas Henry)"",""Led (velike kocke ali ledena krogla)"",""Rezina limete ali limone za okras""]","[""V balonasti gin kozarec dodaj velike kocke ledu"",""Nalij gin"",""Počasi dolij tonik, da se ohrani mehurček"",""Okrasi z limeto ali limono"",""Nežno premešaj z žlico""]",,"4 min","Easy",1,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
"73866828-5d35-4f6c-8a0c-910854dc0a14","Moscow Mule","Osvežujoč koktajl z vodko in ingverjevim pivom. Tradicionalno se postreže v bakreni skodelici.","[""50 ml Absolut vodke"",""10-15 ml sveže iztisnjenega limetinega soka"",""100-120 ml ginger beer (Fever-Tree, Thomas Henry ali Bundaberg)"",""Led (velike kocke)"",""Rezina limete in vejica mete za okras"",""Kapljica angosture (opcijsko)""]","[""V bakreno skodelico ali visok kozarec dodaj veliko ledu"",""Nalij vodko in svež limetin sok"",""Počasi dolij ginger beer, da se ohrani pena"",""Nežno premešaj"",""Okrasi z rezino limete in svežo meto""]",,"6 min","Easy",1,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
"3a5cb1fa-d991-4430-b378-8c6995ac79ba","Rum & Cola (Cuba Libre)","Klasična kombinacija ruma in kole z dodatkom svežega limetnega soka za pristno kubansko izkušnjo.","[""50 ml Havana Club ruma"",""100-150 ml Coca-Cole"",""10 ml svežega limetinega soka"",""Led (velike kocke)"",""Rezina limete za okras""]","[""V visok kozarec dodaj led do vrha"",""Nalij rum"",""Dodaj limetin sok"",""Dolij Coca-Colo"",""Nežno premešaj"",""Okrasi z rezino limete""]",,"4 min","Easy",1,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
"ec28a43f-aac3-4de8-b244-e64aa9d48baa","Tequila Sunrise","Barvit koktajl z lepimi odtenki, ki spominjajo na sončni vzhod. Sladek in osvežujoč.","[""50 ml Olmeca tekile"",""100 ml pomarančnega soka (najbolje sveže stisnjenega)"",""10-20 ml grenadine sirupa"",""Led"",""Rezina pomaranče in višnja za okras""]","[""V visok kozarec dodaj led"",""Nalij tekilo in pomarančni sok"",""Nežno premešaj"",""Počasi dolij grenadino, da potone na dno in ustvari 'sončni vzhod' efekt"",""Ne mešaj več - postreži takoj"",""Okrasi z pomarančo in višnjo""]",,"5 min","Easy",1,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
"aa01bca3-fb20-4c4e-a1e1-d01ae834514d","Mojito","Kubanski klasik s svežo meto, limetami in belim rumom. Popoln za vroče poletne dni.","[""50 ml belega ruma"",""20 ml svežega limetinega soka"",""2 žlički belega sladkorja"",""8-10 listov sveže mete"",""Gazirana voda za dolivanje"",""Led"",""Vejica mete in rezina limete za okras""]","[""V visok kozarec dodaj listke mete in sladkor"",""Z mudlerjem nežno potlači meto, da sprosti arome"",""Dodaj limetin sok in rum"",""Napolni kozarec z ledom"",""Dolij gazirana voda"",""Nežno premešaj"",""Okrasi z vejico mete in limeto""]",,"8 min","Medium",1,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
"d19512f3-7a85-4ff2-b651-51443fbe1d6f","Whiskey Sour","Klasičen koktajl z whiskyjem, limoninim sokom in sladkorjem. Možna je tudi uporaba beljaka za kremasto teksturo.","[""60 ml bourbon whiskeya"",""30 ml svežega limoninega soka"",""20 ml enostavnega sirupa"",""1 beljak (opcijsko)"",""Led"",""Rezina limone in višnja za okras"",""2-3 kapljice angosture bitters""]","[""V shaker dodaj vse sestavine"",""Če uporabiš beljak, najprej suho stresaj (brez ledu)"",""Dodaj led in ponovno močno stresaj"",""Precedi v kozarec z ledom"",""Okrasi z limono in višnjo"",""Dodaj kapljice angosture na vrh""]",,"7 min","Medium",1,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z 
